,Comment,id,date,Pos,Neg,Neu
0,"Alex is doing a very good job, no complaints, but Rory can't be replaced. Rory''s voice and charisma are at a completely different level and would love to see more of Rory content","
 @thecarenthusiast8886
 ",9 months ago,0.205,0.093,0.702
1,Great review. I've always had a soft spot for the GLC and based on this it's a fine tuned version of the last car. No drastic change needed when the original template is so good.,"
 @LemuelTaylor
 ",9 months ago,0.283,0.052,0.664
2,I'm really torn between the new GLC and the new X3. Love them both. I think i'm gonna flip a coin...and go with a Kia,"
 @geolykos
 ",8 months ago,0.141,0.219,0.64
3,Great review. I do think the X3 LCI looks better from the outside and is better to drive. Not much between the two but I’d go for the BMW.,"
 @huseyinyaman3180
 ",9 months ago,0.205,0.0,0.795
4,"First of all: Well and professionally made in general, but what I was really missing is kind of a more objective review. This review is like watching somebody directly out of the marketing department of MB talking about their car. Just a high praise of every aspect of the car without any critical point. This is for sure not very plausible, especially since with the previous one, there was quite a lot to complain about. Considering that the current MB interiors in general really look nice, but feel rather cheap from a haptical point of few… and so on… this video simply looks like sponsored by MB. 
Critical comments and points should also be part of a good car review in my opinion.","
 @j19871
 ",9 months ago (edited),0.185,0.069,0.746
5,can’t wait for the GLC coupe to come out now. interiors are so beautiful,"
 @pramey
 ",9 months ago,0.277,0.0,0.723
6,"Its like watching another channel, the voice is soothing almost like listening to the mermaid Rory was catching. People that say they want him back should decide if they want growth and more content where creators get time to fly and review different things and events or they want Rory to do everything with limited content while other channels like SuperCarBlondie are growing and delegating content. This video is quality even without Rorisang, because it already has his essence. He wouldn't bring someone who don't know what they're talking about.","
 @RealLaone
 ",9 months ago,0.18,0.019,0.801
7,She's original and not trying too hard. I'm starting to really like her. Nice review.,"
 @qbtrailers6615
 ",9 months ago,0.462,0.0,0.538
8,Really nice Merc. Very happy to see Alex back. So smooth review! I really loved it,"
 @alexorproductions6966
 ",9 months ago,0.491,0.0,0.509
9,"Love the fact that Alex is just being herself and natural ,great review .","
 @NKM7
 ",9 months ago,0.519,0.0,0.481
10,"I got to test it yesterday. Nice looking from car, seems big enough from the outside, like proper family SUV.... yep a family of minions maybe. I'm 189cm tall and when sat in driver's seat my eyes are at the level of the top of windscreen. I looks at the dashboard like it's on my knees. Door arms inside are made of the horrible cheap, hard plastic and the seat adjusting buttons have no feedback anymore. They feel like they fell off and glued back with a superglue. Beautiful steering wheel ruined by the side buttons which are not real button but some sort of slide over plastic surface. Very disappointed because it looked so promising.","
 @kuzmajacek
 ",4 months ago,0.135,0.091,0.773
11,Best thing about the interior are the Vents. They are Jet turbines. Next are the Volvo-like headrests and seats. Forget the touch sensitive controls. The Giant pad looks somehow more suited to this than any other Mercedes.,"
 @hastensavoir7782
 ",9 months ago,0.102,0.046,0.852
12,Stunning! As a Volvo xc40 owner! This glc looks so enticing,"
 @KuyaArbee
 ",6 months ago,0.261,0.0,0.739
13,Great review put so much work love it ️,"
 @jamalrajput5589
 ",9 months ago,0.588,0.0,0.412
14,"I enjoyed this review as much as I think I would have, had it been done by Rory. Great job Alex, keep it up!","
 @jakubcuryo1990
 ",9 months ago,0.288,0.0,0.712
15,That interior is insane!,"
 @etxkevin7452
 ",9 months ago,0.0,0.499,0.501
16,I am not really interested in the GLC but stayed for the review anyway. You are doing a great job! Well done!,"
 @chickenfortress7956
 ",9 months ago,0.322,0.063,0.615
17,Love her review. It was actually a delight to watch!! And great info!!,"
 @TheWinonaJohnson
 ",9 months ago,0.598,0.0,0.402
18,Definitely would get this one if I could afford one.,"
 @topnineshow
 ",9 months ago,0.252,0.0,0.748
