,Comment,id,date,Pos,Neg,Neu
0,Such a beautiful car!!!Congratulations Maserati!!!!,"
 @justdriveit7434
 ",1 year ago,0.628,0.0,0.372
1,I like it! Has a good look slightly based off the MC20 front-end.,"
 @GTSam
 ",1 year ago,0.387,0.0,0.613
2,Maserati interior has always been a problem for me. Glad they fixed it for the upcoming Grecale,"
 @changsta2004
 ",1 year ago,0.152,0.137,0.711
3,Looks stunning for an SUV in Trofeo form. Nice work!,"


@HaggisNHorsepower


 
 @HaggisNHorsepower
 








",1 year ago,0.416,0.0,0.584
4,"my opinion doesn't count, but to me it is a massive downgrade compared to the levante (especially in the front end).
where it got better are just the interior probably.
they made a maserati look like a jaguar e-pace, and it is not a a good thing at all.","
 @snvffxxx
 ",1 year ago,0.139,0.061,0.801
5,"Maserati ha un potenziale incredibile, più di ogni altra casa automobilistica. Ha tantissima storia e fa delle auto eterne, cioè che non invecchiano mai. Deve solo riuscire a stare al passo con la tecnologia, il resto lo sa fare benissimo!","
 @MrSullivan369
 ",1 year ago,0.124,0.0,0.876
6,Front end looks like a jaguar e pace. Rest of the car looks brilliant. Interior is a big step up from the Levante.,"
 @neutronstar44
 ",1 year ago (edited),0.259,0.0,0.741
7,Great looking car. Just keep the beautifull Maserati exhaust sound!,"
 @panpawe4858
 ",1 year ago,0.301,0.151,0.548
8,This car is genius ,"
 @markoseigyimah1532
 ",1 year ago,0.0,0.0,1.0
9,As all other Maseratis I like this too️️️️️,"
 @sachiduperera5422
 ",1 year ago (edited),0.294,0.0,0.706
10,Absolutely beautiful,"
 @blackeagle2705
 ",1 year ago,0.807,0.0,0.193
11,"This SUV looks gorgeous, ngl","
 @WorldMundo
 ",1 year ago,0.5,0.0,0.5
12,Interesting indeed ... but i am waiting for the new GT! ,"
 @chrtsi6912
 ",1 year ago,0.424,0.0,0.576
13,The best looking vehicle in its class with a far richer interior than the Levante! Can’t wait till the Levante gets this interior!!,"
 @AllanteA4
 ",3 months ago,0.298,0.0,0.702
14,Una macchina molto bella ️,"
 @Luckygabr
 ",1 year ago,0.0,0.0,1.0
15,I like the clip and the website they have for this. Made by some skillfull people.,"
 @syproful
 ",1 year ago,0.152,0.0,0.848
16,Not bad for a first time crossover SUV.,"
 @revelare_xvii6269
 ",1 year ago,0.322,0.0,0.678
17,Impressive and awesome intro,"
 @KuyaArbee
 ",1 year ago,0.787,0.0,0.213
18,What song is this? I love it!,"
 @dvdmaldonado09
 ",1 year ago,0.514,0.0,0.486
19,Go Maserati 🇮🇹,"
 @hilmanfirgiansyah9728
 ",1 year ago,0.0,0.0,1.0
20,Such a beautiful car,"
 @vmsmuenchen5084
 ",1 year ago,0.661,0.0,0.339
21,Très jolie 🇨🇵,"
 @jeanmaxmontagner5451
 ",1 year ago,0.0,0.0,1.0
22,Now just waiting for Granturismo <3,"
 @Wikary1
 ",1 year ago (edited),0.367,0.0,0.633
23,This SUV is going on my Short List.,"
 @Emime1
 ",1 year ago,0.0,0.0,1.0
24,"Cars were simple and elegant before the “screen” (and the period of “gazillion buttons” before the screen). Take Mercedes W124 for instance. Moreover, luxury meant the finest materials, craftsmanship, and comfort (or sportiness depending on your taste). So Maserati, looking for that sporty luxury car from you because you’re not as invested in as the rest… and a Maserati was and still is the definition of sporty luxury.","
 @elifilhan2946
 ",8 months ago,0.079,0.0,0.921
25,Awesome ,"
 @layla3552
 ",1 year ago,1.0,0.0,0.0
26,Stupenda ️,"
 @carmelosaia1583
 ",1 year ago,0.0,0.0,1.0
27,"Thank you, Maserati!","
 @Lamla-Michael
 ",1 year ago,0.583,0.0,0.417
28,La amo,"
 @MrLeonEsc
 ",1 year ago,0.0,0.0,1.0
29,"Finally an interior that looks like a 2022 car. As for the exterior, in video lacks a bit of personality, maybe live it will be better. For now, Levante looks better.","
 @rccdbcars9993
 ",1 year ago,0.242,0.0,0.758
30,Oh My God !!!!!!!!!!!!!!!!!!!!!!! ADOROOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,"
 @ileniasantorelli8772
 ",1 year ago,0.45,0.0,0.55
31,Wow ️,"
 @bery8914
 ",1 year ago,1.0,0.0,0.0
32,"Does this mean the Levante is going away?  Or, can we expect the Levante to receive these upgrades as well?","
 @etjulien
 ",1 year ago,0.115,0.0,0.885
33,I’m only 12 years old and I get my drivers license I’m gonna get this,"
 @BunOh1
 ",6 months ago,0.0,0.0,1.0
34,Amazing song!,"
 @Denn1s79
 ",1 year ago,0.804,0.0,0.196
35,italian design ,"
 @aviator-kn8zq
 ",1 year ago,0.0,0.0,1.0
36,"Sicuramente avrà una guida come dio comanda,però d'avanti e una Ford Puma, non è possibile per una Maserati di avere un farro made in Ford, Maserati non dovrebbe permettersi mai un farro cosi inguardabile...Per il resto e il TOP...","
 @aleksandarjovev9258
 ",1 year ago,0.0,0.0,1.0
37,all that aside really liked the music,"
 @shashibhushan1905
 ",1 year ago,0.34,0.0,0.66
38,J’espère que c’est un gag !,"
 @fredrufer1349
 ",1 year ago,0.0,0.402,0.598
39,Nice ,"
 @umarq131
 ",1 year ago,1.0,0.0,0.0
40,Is the car key/fob on her wrist because that's fucking genius.,"
 @benjaminfredrick9663
 ",9 months ago,0.0,0.0,1.0
41,Will there be a hot wheels version?,"
 @ChillBassline
 ",9 months ago,0.0,0.0,1.0
42,Nice car for its price to bad it doesn't come in as gas only  not electric im kind of concern about the week power car will not do well to many problems later on the futures.,"
 @markdeang3106
 ",1 year ago,0.065,0.187,0.747
43,️️️,"
 @achancy
 ",1 year ago,0.0,0.0,1.0
44,Amazing,"
 @drooyrich1279
 ",1 year ago,1.0,0.0,0.0
