,Comment,id,date,Pos,Neg,Neu
0,Would you choose the Maserati Grecale over the Porsche Macan or BMW X4M? VOTE BELOW!,"


@carwow


 
 @carwow
 








",1 year ago,0.0,0.0,1.0
1,I’ve actually seen pre production models at Egham Maserati and it is probably one of the most comfortable cars I’ve ever sat in and beautifully made. The only issues I have are with the front headlamps which should be more like the Levante and was told the service intervals were 9000 miles! Otherwise a superb car and far more character than a Macan.,"
 @martinandcopoole
 ",9 months ago,0.205,0.0,0.795
2,Alfa Stelvio has by far the most inspired design. Both sporty and elegant at the same time,"
 @dimitrispoupoulis4888
 ",1 year ago,0.305,0.0,0.695
3,"I'm excited about the future of Maserati, I think Stellantis is taking the challenge of supporting their brands seriously.","
 @johnz8112
 ",1 year ago,0.296,0.076,0.628
4,"0:31 design
1:40 engines 
2:22 interior 
3:11 trofeo
4:30 driving
5:04 performance
6:05 fologore
7:09 gran turismo AM
8:11 realest date and the price","
 @LDRX44
 ",1 year ago (edited),0.0,0.0,1.0
5,If this SUV will lead to higher sales allowing Maserati to develop their sports and supercars then I'm all for it,"
 @toshisato26
 ",1 year ago,0.0,0.0,1.0
6,"I'm glad to see a happy looking car. Cars these days look so discontent, I sometimes worry about their well being.","
 @rhalfik
 ",1 year ago,0.326,0.117,0.556
7,"It's far from ugly, but it does decidedly look like a toy car in yellow. I always suspected that SUV buyers never got over their toy car phase aesthetically, but this one is really pronounced with the blocky design and happy headlights.","
 @james64ibm
 ",1 year ago,0.177,0.091,0.731
8,I really hope Alfa make more sedans and wagons and more sports coupe and hatchback too,"
 @sextus_decimus1473
 ",1 year ago,0.186,0.0,0.814
9,"I really like it, its got a nice interior, a great exterior and the maserati Badge for me is always a win, just which the lights were more aggressive looking because the Ford Puma look doesnt look the best","


@HardcoreInsanity


 
 @HardcoreInsanity
 








",1 year ago,0.283,0.11,0.607
10,"Really excited for Maserati, this brand deserves so much.","
 @ivannarvaez367
 ",1 year ago,0.252,0.0,0.748
11,"Very nice,  best looking suv I've seen for a while. Great sound track too ","
 @andyp2547
 ",1 year ago,0.539,0.0,0.461
12,"Oh yeah, the title just reminds me that we're in 2022 and the Tesla Roadster 2.0 still doesn't exist yet. Interesting.","
 @F1ll1nTh3Blanks
 ",1 year ago,0.094,0.096,0.81
13,"Lights looking like those on a Puma was my first thought tbh, still a great design","
 @guilbartt3006
 ",1 year ago,0.355,0.0,0.645
