,Comment,id,date,Pos,Neg,Neu
0,So much fun ️,"


@yiannimize


 
 @yiannimize
 








",2 years ago,0.641,0.0,0.359
1,That 2.9L V6 on the Stelvio sounds GLORIOUS!,"
 @mariosac130
 ",2 years ago,0.427,0.0,0.573
2,X4M was like “you said 4cyl I will give you 4cyl power on the first run”,"
 @CrazeyP
 ",2 years ago,0.152,0.0,0.848
3,The stelvio sounds and looks so good it's always gonna be my pick.,"
 @BassFace1776
 ",2 years ago,0.238,0.0,0.762
4,"Mat: Time for a sound check
Wind noise: Nope.","
 @RC-wu8cc
 ",2 years ago,0.0,0.0,1.0
5,Man that Alfa sounds really really good compared to the BMW or the Porsche hands down,"
 @mikey_n_vegas
 ",2 years ago,0.188,0.0,0.812
6,No idea on the spec. Defo 3 wheels though lol,"


@yiannimize


 
 @yiannimize
 








",2 years ago,0.233,0.183,0.583
7,Alfa Romeo never disappoints!!!,"
 @teocars9382
 ",2 years ago,0.505,0.0,0.495
8,For me I’d pick the Stelvio  I think it just looks better than most SUVs and for the price it’s super quick. Loved the race aswell and the Stelvio sounded best by far.,"
 @tonyjohnson6399
 ",2 years ago,0.347,0.0,0.653
9,"The BMW is impressive, what's even more impressive is that the Macan with 60 hp and 50 Nm less but 100 kg more than the Stelvio was not getting beaten that bad in fact was very close.","
 @alexlanza79
 ",1 year ago,0.162,0.105,0.733
10,"The bmw makes about 480whp stock. With some tuning & E85 fuel (or race gas), & a basic fuel system ($1000) it goes up to 650whp. Pretty sweet if you ask me for those who are tuning friendly. Great video as well guys! Beautiful line up","
 @m3nace.
 ",2 years ago,0.348,0.0,0.652
11,"If only the Porsche had a bit more horsepower for the drag race, it launches beautify and definitely my favorite one","
 @ethanfairburn6665
 ",1 year ago,0.335,0.071,0.595
12,Matt is lowkey a BMW fan boy at heart,"
 @matiwade
 ",2 years ago,0.247,0.0,0.753
13,"Matt and Yanni together are brilliantly entertaining, I don’t enjoy car videos more than with these two.","
 @Benvos
 ",2 years ago,0.437,0.0,0.563
14,I have a X3M Competition so I’m loving this video! I’d like to see the new M3/4c  against an X3/4Mc. Clearly the car would have the weight advantage over the SUV- but not the 4 wheel drive system (yet)…..could make for an interesting race…..,"
 @nick140i2
 ",2 years ago,0.243,0.0,0.757
15,"I always impressed by Mat knowledge of car, of course he's a car journalist. Not just remember the car, but also the engine line up from a brand.","
 @andrean-rakka
 ",2 years ago,0.079,0.0,0.921
16,"Drag races with Yanni are always great entertainment.  No surprise the BMW won as I'm sure they sandbagged the HP and probably the torque figures, and that more than made up for the weight advantage the Alfa had.  Great drag race, Mat!","
 @AaronRandolphChen
 ",2 years ago,0.36,0.101,0.539
17,"BMW are on a roll.  The X4m is really a mini X6m, much like the M4 is a mini M8.  Great cars.  If you were to take an X4m over the equivalent X5 or X6, you wouldn't bed disappointed.","
 @lionelanderson2368
 ",2 years ago,0.277,0.0,0.723
18,BMW never disappoints!!! The Alfa really surprised me. I didn't expect it to be that fast,"
 @lindelani_maphosa
 ",2 years ago,0.288,0.0,0.712
19,People don’t give BMWs enough credit. What a beast of a car.,"
 @vinay4112
 ",2 years ago,0.224,0.0,0.776
20,"Hey Mat, what about renting a dyno and do a dyno test to see if the cars hit the exact amount of power? Might be fun!","
 @Marelami
 ",2 years ago,0.135,0.0,0.865
21,Good to finally see Yanny win in a race. Mates got a big smile on his face,"
 @rishidhokia6936
 ",1 year ago,0.434,0.0,0.566
22,"Stelvio sounds amazing but i prefer the looks of the porsche its beautiful, had a feeling the bmw would win before the race but if i had  to choose one of these it be the porsche ","
 @johnwhite2143
 ",2 years ago,0.336,0.0,0.664
23,I have to say BMW in standing quarter mile is impressive.. must be the launch control.. M5 Comp leads its class.. I am sure the new M3 does as well..,"
 @newmarketcentralmanagement9897
 ",2 years ago,0.078,0.0,0.922
24,Can we just appreciate Alfa for being that quick without Launch Control? This thing is mad!!,"
 @ARIES6181
 ",2 years ago,0.132,0.185,0.683
25,"That was a great Drag Race!
Before it ran I simply couldn't guess which I'd put my money on!","
 @daviddenley3512
 ",2 years ago,0.217,0.088,0.695
26,I'd be interested to see how the 2021Jag F-pace SVR compares to these given it's pretty much in the same price bracket,"
 @nickngsr
 ",2 years ago (edited),0.228,0.0,0.772
27,"If Porsche had same power this race would be very, very different. ","
 @valentin9143
 ",2 years ago,0.0,0.0,1.0
28,"I really like the relationship between Mat and Yanny. They seem to have such a healthy friendship. I also really like Yanny. I didn't love him when he first came on the channel, but I really like him now. He always seems pretty cheery and happy, he's now a very gracious loser, plays (mostly) fair, and just seems really friendly and a pleasure to be around. Keep up the positivity, I love the content!","
 @ryankassel5691
 ",2 years ago,0.459,0.105,0.436
29,"Would be cool to see new 2022 BMW X4 M Comp vs Alfa, Porce Maca GTS, and 2021 AMG GLC 63 S. Curious just how much extra torque helps it get off the line.","
 @zizou4424
 ",1 year ago,0.194,0.0,0.806
