,Comment,id,date,Pos,Neg,Neu
0,"Name a better SUV on sale today for less than £75,000.

We'll wait...","


@carwow


 
 @carwow
 








",2 years ago,0.209,0.0,0.791
1,"Stelvio-Owner here - after already 80'000 km, the very best part to me: the direct steering. The 12:1 steering ratio compared to 13:1 to classic sports cars (Porsche, etc.) and 14.5:1 for 'normal' cars is just mind boggling. So much cart-feeling, damn, I have to cut the youtube time and go back to ride it..","
 @Pumpelche
 ",1 year ago,0.075,0.085,0.84
2,"Style, elegance and performance in one. I’m sorry but no one does it better.","
 @james_4979
 ",2 years ago,0.297,0.199,0.504
3,"These look absolutely stunning, one of the best looking SUVs currently on sale. And that sound is just amazing!","
 @doggedlydetermined7022
 ",2 years ago,0.411,0.0,0.589
4,"Amazing review 
I'm so happy that Matt is always doing reviews on Alfas. Many guys dont really do that nowadays.  It also helps the brand in getting new buyers for the cars 
Thanks Matt.","
 @rayhaangazi1558
 ",2 years ago,0.319,0.0,0.681
5,"The Stelvio, like all other Italian cars, has character, it doesn't switch it with some button. When you buy a special Italian car you know what you're getting into, and you have to commit. I actually love them for that.","
 @annahenrietta9517
 ",2 years ago,0.254,0.0,0.746
6,Best review so far both strengths and weaknesses. I am lucky enough to own one and am amazed I don't see more. The ride is good it has travel over speed bumps but as Matt says some roads with knackered broken surfaces cause it to jossle a bit.,"
 @jerehada
 ",2 years ago,0.193,0.108,0.698
7,This and Giulia are my favourites. Italians know how to make beautiful cars 🇮🇹.,"
 @borisjohnson5494
 ",2 years ago (edited),0.231,0.0,0.769
8,"Actually, 2021 model has exhaust flaps open already at Dynamic mode, with stability systems on, at some markets for sure. Amazing car, amazing engine. Enjoying regular Stelvio Veloce model myself, as a family car... )","
 @kyrylokryvolap1616
 ",2 years ago,0.353,0.049,0.599
9,"11:45
That is just such a cool shot. The way it spun up its rear wheels like ""Let me GO!"". The coolest looking SUV launch I've seen.","
 @Watch_Dog47
 ",2 years ago,0.175,0.0,0.825
